Voltage (V),Temperature (°C),Pressure (hPa),Humidity (%),Fire Alarm
0.58,30.63,1009.33,67.0,0
0.58,30.61,1009.34,67.0,0
0.56,30.59,1009.33,67.0,0
0.57,30.58,1009.34,67.0,0
0.57,30.56,1009.33,67.0,0
0.57,30.54,1009.33,67.0,0
0.54,30.5,1009.34,68.0,0
0.53,30.52,1009.31,68.0,0
0.52,30.54,1009.32,68.0,0
0.55,30.55,1009.32,68.0,0
0.56,30.54,1009.31,68.0,0
0.55,30.53,1009.31,68.0,0
0.55,30.52,1009.32,68.0,0
0.56,30.51,1009.33,68.0,0
0.56,30.5,1009.33,68.0,0
0.56,30.48,1009.33,68.0,0
0.56,30.47,1009.33,68.0,0
0.56,30.46,1009.33,68.0,0
0.56,30.45,1009.34,68.0,0
0.56,30.43,1009.34,68.0,0
0.56,30.42,1009.34,68.0,0
0.56,30.3,1009.35,69.0,0
0.55,30.28,1009.35,69.0,0
0.55,30.28,1009.35,69.0,0
0.55,30.28,1009.35,69.0,0
0.55,30.27,1009.35,69.0,0
0.55,30.25,1009.35,69.0,0
0.55,30.24,1009.34,69.0,0
0.55,30.24,1009.33,69.0,0
0.55,30.23,1009.33,69.0,0
0.55,30.23,1009.33,69.0,0
0.55,30.22,1009.34,69.0,0
0.55,30.21,1009.35,69.0,0
0.55,30.2,1009.36,69.0,0
0.55,30.18,1009.36,69.0,0
0.55,30.17,1009.36,69.0,0
0.55,30.17,1009.37,69.0,0
0.55,30.16,1009.39,69.0,0
0.55,30.15,1009.4,69.0,0
0.55,30.13,1009.39,69.0,0
0.55,30.12,1009.38,69.0,0
0.54,30.12,1009.37,69.0,0
0.55,30.11,1009.37,69.0,0
0.55,30.1,1009.37,69.0,0
0.55,30.09,1009.36,69.0,0
0.54,30.08,1009.37,69.0,0
0.55,30.08,1009.38,69.0,0
0.54,30.07,1009.38,70.0,0
0.55,30.06,1009.37,70.0,0
0.55,30.05,1009.36,70.0,0
0.55,30.05,1009.37,70.0,0
0.55,30.04,1009.37,70.0,0
0.54,30.04,1009.37,70.0,0
0.55,30.04,1009.37,70.0,0
0.54,30.03,1009.37,70.0,0
0.55,30.03,1009.38,70.0,0
0.55,30.03,1009.37,70.0,0
0.54,30.02,1009.37,70.0,0
0.54,30.01,1009.36,71.0,0
0.54,30.01,1009.36,71.0,0
0.54,30.0,1009.37,71.0,0
0.54,30.0,1009.37,71.0,0
0.54,30.0,1009.37,71.0,0
0.55,30.0,1009.38,71.0,0
0.54,30.0,1009.38,71.0,0
0.54,30.0,1009.39,71.0,0
0.54,29.99,1009.38,71.0,0
0.54,29.99,1009.36,71.0,0
0.54,29.98,1009.37,71.0,0
0.54,29.98,1009.38,71.0,0
0.54,29.96,1009.39,71.0,0
0.54,29.95,1009.39,71.0,0
0.54,29.95,1009.39,71.0,0
0.54,29.94,1009.39,71.0,0
0.54,29.94,1009.38,71.0,0
0.54,29.94,1009.39,71.0,0
0.54,29.93,1009.38,71.0,0
0.54,29.93,1009.38,71.0,0
0.54,29.92,1009.38,71.0,0
0.54,29.92,1009.38,71.0,0
0.54,29.92,1009.39,71.0,0
0.54,29.91,1009.4,71.0,0
0.54,29.91,1009.41,71.0,0
0.54,29.91,1009.41,71.0,0
0.53,29.9,1009.41,71.0,0
0.53,29.9,1009.41,71.0,0
0.54,29.9,1009.42,71.0,0
0.54,29.9,1009.42,71.0,0
0.53,29.9,1009.42,71.0,0
0.54,29.91,1009.42,71.0,0
0.53,29.9,1009.42,71.0,0
0.53,29.9,1009.44,71.0,0
0.53,29.89,1009.45,71.0,0
0.54,29.88,1009.45,71.0,0
0.53,29.87,1009.46,71.0,0
0.53,29.87,1009.45,71.0,0
0.53,29.87,1009.46,71.0,0
0.53,29.87,1009.45,71.0,0
0.53,29.86,1009.45,71.0,0
0.53,29.86,1009.45,71.0,0
0.53,29.86,1009.46,71.0,0
0.53,29.86,1009.46,71.0,0
0.53,29.85,1009.46,71.0,0
0.53,29.85,1009.46,71.0,0
0.53,29.85,1009.47,71.0,0
0.53,29.85,1009.47,71.0,0
0.53,29.84,1009.47,71.0,0
0.53,29.83,1009.47,71.0,0
0.53,29.83,1009.47,72.0,0
0.53,29.83,1009.47,72.0,0
0.53,29.83,1009.48,72.0,0
0.53,29.83,1009.48,72.0,0
0.53,29.83,1009.49,72.0,0
0.53,29.83,1009.49,72.0,0
0.53,29.83,1009.48,72.0,0
0.53,29.83,1009.48,72.0,0
0.53,29.82,1009.49,72.0,0
0.53,29.81,1009.5,72.0,0
0.53,29.81,1009.5,72.0,0
0.53,29.8,1009.5,72.0,0
0.53,29.8,1009.5,72.0,0
0.53,29.79,1009.5,72.0,0
0.53,29.79,1009.51,72.0,0
0.53,29.78,1009.52,72.0,0
0.53,29.77,1009.51,72.0,0
0.53,29.77,1009.51,72.0,0
0.53,29.77,1009.51,72.0,0
0.53,29.76,1009.5,72.0,0
0.53,29.76,1009.5,72.0,0
0.53,29.75,1009.5,72.0,0
0.53,29.75,1009.49,72.0,0
0.53,29.74,1009.5,72.0,0
0.53,29.74,1009.51,72.0,0
0.53,29.73,1009.51,72.0,0
0.53,29.72,1009.51,72.0,0
0.52,29.72,1009.52,72.0,0
0.52,29.72,1009.52,72.0,0
0.53,29.72,1009.52,72.0,0
0.53,29.72,1009.53,72.0,0
0.53,29.72,1009.53,72.0,0
0.52,29.72,1009.53,72.0,0
0.52,29.71,1009.54,72.0,0
0.52,29.71,1009.54,72.0,0
0.53,29.71,1009.54,72.0,0
0.53,29.7,1009.54,72.0,0
0.52,29.7,1009.54,72.0,0
0.53,29.69,1009.54,72.0,0
0.53,29.69,1009.54,72.0,0
0.52,29.69,1009.53,72.0,0
0.52,29.69,1009.54,72.0,0
0.52,29.69,1009.54,72.0,0
0.52,29.68,1009.54,72.0,0
0.52,29.68,1009.55,72.0,0
0.52,29.68,1009.55,72.0,0
0.52,29.67,1009.55,72.0,0
0.52,29.67,1009.55,72.0,0
0.52,29.67,1009.55,72.0,0
0.52,29.67,1009.55,72.0,0
0.52,29.67,1009.55,72.0,0
0.52,29.66,1009.56,72.0,0
0.52,29.65,1009.56,72.0,0
0.52,29.65,1009.56,72.0,0
0.52,29.66,1009.56,72.0,0
0.52,29.65,1009.57,72.0,0
0.52,29.64,1009.57,72.0,0
0.52,29.64,1009.57,72.0,0
0.52,29.64,1009.57,72.0,0
0.53,29.64,1009.57,72.0,0
0.52,29.63,1009.58,72.0,0
0.52,29.63,1009.57,72.0,0
0.52,29.63,1009.58,72.0,0
0.52,29.63,1009.58,72.0,0
0.52,29.62,1009.59,72.0,0
0.52,29.62,1009.58,72.0,0
0.52,29.61,1009.59,72.0,0
0.52,29.6,1009.59,72.0,0
0.52,29.6,1009.58,72.0,0
0.52,29.6,1009.58,72.0,0
0.52,29.59,1009.59,72.0,0
0.52,29.58,1009.59,72.0,0
0.52,29.58,1009.59,72.0,0
0.52,29.58,1009.59,72.0,0
0.52,29.58,1009.59,72.0,0
0.52,29.58,1009.6,72.0,0
0.52,29.58,1009.6,72.0,0
0.52,29.58,1009.6,72.0,0
0.52,29.57,1009.6,72.0,0
0.52,29.57,1009.59,72.0,0
0.52,29.56,1009.59,72.0,0
0.51,29.56,1009.6,72.0,0
0.51,29.56,1009.6,72.0,0
0.52,29.56,1009.61,72.0,0
0.52,29.55,1009.62,72.0,0
0.52,29.54,1009.62,72.0,0
0.52,29.54,1009.61,72.0,0
0.52,29.53,1009.61,72.0,0
0.51,29.53,1009.61,72.0,0
0.51,29.53,1009.61,72.0,0
0.51,29.52,1009.61,72.0,0
0.51,29.52,1009.61,72.0,0
0.52,29.52,1009.61,72.0,0
0.52,29.52,1009.62,72.0,0
0.52,29.53,1009.62,72.0,0
0.52,29.52,1009.63,72.0,0
0.51,29.52,1009.64,72.0,0
0.51,29.53,1009.65,72.0,0
0.52,29.53,1009.64,72.0,0
0.51,29.53,1009.64,72.0,0
0.51,29.52,1009.64,72.0,0
0.51,29.52,1009.65,72.0,0
0.52,29.51,1009.65,72.0,0
0.52,29.5,1009.65,72.0,0
0.5,29.49,1009.66,72.0,0
0.51,29.49,1009.67,72.0,0
0.51,29.49,1009.67,72.0,0
0.52,29.49,1009.67,72.0,0
0.51,29.48,1009.67,72.0,0
0.52,29.48,1009.67,73.0,0
0.51,29.49,1009.67,73.0,0
0.51,29.49,1009.66,73.0,0
0.52,29.49,1009.66,73.0,0
0.51,29.49,1009.66,73.0,0
0.51,29.48,1009.66,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.66,73.0,0
0.52,29.47,1009.66,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.66,73.0,0
0.51,29.47,1009.65,73.0,0
0.51,29.48,1009.64,73.0,0
0.51,29.47,1009.66,73.0,0
0.51,29.46,1009.66,73.0,0
0.51,29.46,1009.67,73.0,0
0.51,29.46,1009.67,73.0,0
0.51,29.46,1009.67,73.0,0
0.51,29.46,1009.68,73.0,0
0.51,29.46,1009.68,73.0,0
0.51,29.46,1009.68,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.48,1009.67,73.0,0
0.51,29.48,1009.66,73.0,0
0.51,29.48,1009.67,73.0,0
0.51,29.48,1009.68,73.0,0
0.51,29.47,1009.68,73.0,0
0.5,29.47,1009.68,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.47,1009.67,73.0,0
0.51,29.48,1009.67,73.0,0
0.51,29.48,1009.67,73.0,0
0.51,29.49,1009.66,73.0,0
0.51,29.49,1009.67,73.0,0
0.51,29.49,1009.66,73.0,0
0.51,29.48,1009.67,73.0,0
0.51,29.48,1009.66,73.0,0
0.51,29.48,1009.67,73.0,0
0.53,29.47,1009.66,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.47,1009.66,72.0,0
0.51,29.47,1009.66,72.0,0
0.51,29.47,1009.67,72.0,0
0.51,29.47,1009.67,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.49,1009.65,72.0,0
0.51,29.49,1009.65,72.0,0
0.51,29.49,1009.66,72.0,0
0.51,29.49,1009.66,72.0,0
0.51,29.48,1009.66,72.0,0
0.5,29.48,1009.66,72.0,0
0.51,29.48,1009.67,72.0,0
0.5,29.47,1009.67,72.0,0
0.51,29.47,1009.67,72.0,0
0.51,29.48,1009.67,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.48,1009.66,72.0,0
0.51,29.48,1009.65,72.0,0
0.51,29.49,1009.66,72.0,0
